Was ist die erste Ableitung von f(x) = x³?;3x²;x²;3x;1/4 x⁴
Was besagt der Satz des Pythagoras in einem rechtwinkligen Dreieck?;a² + b² = c²;a + b = c;a² - b² = c²;a/b = c
Was ist das unbestimmte Integral von f(x) = 2x?;x² + C;2;x + C;2x²
Wie viele Flächen hat ein normaler Zauberwürfel?;6;8;9;12
Was ist das Quadrat von 15?;225;215;250;125
Was ist die SI-Einheit der Kraft?;Newton;Joule;Watt;Pascal
Welches Phänomen beschreibt den Anstieg der Amplitude, wenn ein System mit seiner Eigenfrequenz angeregt wird?;Resonanz;Dämpfung;Interferenz;Beugung
Wie lautet die Formel für die kinetische Energie?;1/2 mv²;mgh;m*a;mc²
Wer formulierte die drei grundlegenden Bewegungsgesetze?;Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler
Welche Konstante beträgt auf der Erde etwa 9,81 m/s²?;Erdbeschleunigung;Lichtgeschwindigkeit;Plancksches Wirkungsquantum;Universelle Gravitationskonstante
Was wird oft als das Kraftwerk der Zelle bezeichnet?;Mitochondrium;Zellkern;Ribosom;Endoplasmatisches Retikulum
Welches Molekül trägt die primäre genetische Information des Menschen?;DNA;RNA;Protein;ATP
Welchen Prozess nutzen Pflanzen, um Sonnenlicht in Energie umzuwandeln?;Photosynthese;Zellatmung;Gärung;Glykolyse
Wie viele Chromosomen hat eine typische menschliche Körperzelle?;46;23;24;48
Wer gilt als Vater der modernen Genetik?;Gregor Mendel;Charles Darwin;Louis Pasteur;Alexander Fleming
In welchem Jahr fiel die Berliner Mauer?;1989;1990;1988;1991
Wer war der erste Präsident der Vereinigten Staaten?;George Washington;Thomas Jefferson;Abraham Lincoln;John Adams
In welchem Jahr begann die Französische Revolution?;1789;1776;1812;1799
Welcher Vertrag beendete offiziell den Ersten Weltkrieg?;Versailler Vertrag;Pariser Vertrag;Vertrag von Tordesillas;Westfälischer Friede
Wer war der erste römische Kaiser nach dem Ende der Republik?;Augustus;Julius Cäsar;Nero;Konstantin