Wie heißt die virtuelle Währung, die in Roblox verwendet wird?;Robux;Minecoins;V-Bucks;Tix
Wer ist der Hauptentwickler und Mitbegründer von Roblox?;David Baszucki;Notch;Gabe Newell;Tim Sweeney
Welche Programmiersprache wird verwendet, um Spiele in Roblox Studio zu programmieren?;Lua;Python;JavaScript;C++
Wie lautete der ursprüngliche Arbeitstitel für Roblox, bevor es umbenannt wurde?;DynaBlocks;BloxScape;RoBuild;BlockCity
In welchem Jahr wurde Roblox offiziell für die Öffentlichkeit freigegeben?;2006;2004;2008;2010
Welches davon ist ein extrem beliebtes Haustier-Sammelspiel auf der Plattform?;Adopt Me!;Brookhaven;MeepCity;Jailbreak
Wie heißt der offizielle monatliche Abonnement-Dienst in Roblox?;Robux Plus;Roblox Premium;Builders Club;Roblox Elite
Welche Software verwenden Entwickler, um ihre eigenen Roblox-Spiele zu bauen und zu veröffentlichen?;Roblox Studio;Roblox Creator;Blox Builder;Game Maker
Auf welcher der folgenden Plattformen gibt es aktuell KEINE offizielle Roblox-App?;Nintendo Switch;PC;PlayStation;Handy
Wie lautet der umgangssprachliche Begriff für Standard-Avatare mit braunen, welligen Haaren?;Bacon Hair;Noob;Guest;Blockhead
Wie hoch ist die maximale Anzahl an Freunden, die man auf einem Roblox-Account haben kann?;200;100;500;1000
Wie hieß die Währung, die 2016 dauerhaft aus Roblox entfernt wurde?;Tix;Points;Studs;Bloxbux
Wie heißt die unglaublich teure und seltene Serie von Kapuzen-Accessoires?;Dominus;Valkyrie;Fedora;Domino Crown
Wie werden Spiele in Roblox genannt, bei denen man Hindernisparcours absolvieren muss?;Obby;Tycoon;Simulator;RPG
Welche zwei Hauptrollen können Spieler im Spiel Jailbreak wählen?;Polizei und Krimineller;Held und Schurke;Wärter und Gefangener;Räuber und Bürger
Wer war der Mitbegründer von Roblox neben David Baszucki?;Erik Cassel;John Shedletsky;Matt Dusek;Telamon
Was bedeutet AFK, wenn es in den Roblox-Chat geschrieben wird?;Away From Keyboard;A Free Kill;Always Finding Keys;Action For Kids
Wie heißt das beliebte Horrorspiel, in dem man vor einem feindseligen Schwein fliehen muss?;Piggy;Bacon;Porky;Oink
Welches Roblox-Spiel ist dafür bekannt, dass Spieler einen riesigen Zylinder ohne Checkpoints erklimmen müssen?;Tower of Hell;Mega Fun Obby;Climbing Simulator;Obby King
Welcher dieser Namen gehört zu einem sehr bekannten Roblox-YouTuber?;Flamingo;PewDiePie;MrBeast;Markiplier
Welche Rolle in Murder Mystery 2 ist mit einer Waffe ausgestattet, um den Mörder zu stoppen?;Sheriff;Unschuldiger;Detektiv;Held
Welche berühmte Schuhmarke hat das offizielle Erlebnis Vans World auf Roblox kreiert?;Vans;Nike;Adidas;Puma
Wie heißt der virtuelle Katalog, in dem Spieler Avatar-Gegenstände kaufen können?;Der Marktplatz;Der Shop;Das Einkaufszentrum;Der Store
Welche Gegenstandskategorie ermöglicht es Charakteren, bestimmte Tänze oder Gesten auszuführen?;Emotes;Gears;Animationen;Pakete
Wie lautete der ursprüngliche Name des Abonnements, bevor es zu Roblox Premium wurde?;Builders Club;Roblox Plus;Premium Club;Robux Club
Welche Art von Roblox-Spiel beinhaltet den Aufbau und die Verwaltung eines Unternehmens, um Geld zu verdienen?;Tycoon;Roleplay;Simulator;Obby
Wie lautet die Bezeichnung für einen Roblox-Spieler, der seinen Standard-Avatar nicht angepasst hat?;Noob;Pro;Guest;Hacker
In welchem beliebten Roblox-Spiel können Spieler in einer Pizzeria arbeiten?;Work at a Pizza Place;Pizza Simulator;Papa's Pizzeria;Pizza Tycoon
Mit welcher Funktion können Entwickler ihre Spiele direkt in Roblox Studio testen?;Playtest;Debug;Simulate;Run Mode
Welcher Zubehörtyp wurde traditionell verwendet, um benutzerdefinierte Musik-IDs im Spiel abzuspielen?;Boombox;Kopfhörer;Radio;Lautsprecher